Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Krem,"Comedy, Drama, Fantasy",2012–2013,"'Duygu Yetis', 'Kenan Ece', 'Ebru Akel', 'Haktan Pak'",1,24,3.4,"'Bando TV', 'GroupM Entertainment Turkey', 'Bando TV'",'Oguzhan Tercan',"'Lilia Kim', 'Deniz Yesilgun'",80,1
 Dudullu Postasi,"Comedy, Fantasy",2018,"'Güven Kiraç', 'Hazar Ergüçlü', 'Taner Ölmez', 'Bülent Sakrak'",1,13,5.5,Limon Film,"'Onur Ünlü', 'Erkan Tunç'","'Funda Alp', 'Fuat Mete'",60,1
 Yeditepe Istanbul,"Comedy, Drama, Family",2001–2002,"'Zuhal Olcay', 'Ugur Polat', 'Emre Kinay', 'Ruhi Sari'",1,48,8.6,Limon Film,"'Turkan Derya', 'Aydin Bulut'",'Ali Ulvi Hünkar',61,1
 Bir Zamanlar Osmanli: Kiyam,History,2012,"'Türkan Soray', 'Hazim Körmükcü', 'Firat Tanis', 'Tolga Karel'",2,3,4.5,Limon Film,'Altan Dönmez',"'Tugba Akgun', 'Naif Durgun'",61,1
 Kayitdisi,Drama,2017,"'Songül Öden', 'Dolunay Soysert', 'Müge Boz', 'Ipek Filiz Yazici'",1,8,5.1,Limon Film,'Cevdet Mercan',"'Sahin Altug', 'Caner Güler'",110,1
 Köprü,Drama,2006–2008,"'Erdal Besikçioglu', 'Yurdaer Okur', 'Idil Firat', 'Melis Birkan'",2,65,7.7,Koliba Film,"'Halenur Uzunoglu', 'Çagatay Tosun'","'Ayse Kulin', 'Ozan Emre Yurdakul'",90,1
 Aliye,"Drama, Family, Romance",2004–2006,"'Sanem Çelik', 'Halit Ergenç', 'Ilhan Sesen', 'Ülkü Duru'",3,76,5.3,"'ATV', 'TMC Film'",'Kudret Sabanci',"'Mehmet Bilal', 'Güliz Kucur'",65,1
 Annemizi Saklarken,Drama,2021–2022,"'Kutsi', 'Hande Dogandemir', 'Yesim Ceren Bozoglu', 'Hatice Aslan'",1,8,4.5,Ojo Pictures,'Baris Yös',"'Sirma Yanik', 'Sirma Yanik'",61,1
 Zeytin Tepesi,Drama,2014,"'Tayanç Ayaydin', 'Aslihan Gürbüz', 'Ayca Varlier', 'Serkan Çayoglu'",1,7,4.8,MF Yapim,'Baris Yös',"'Gulnaz Yos Saracoglu', 'Gunes Saracoglu'",120,1
 Seni Kimler Aldi,"Drama, Romance",2017,"'Fulya Zenginer', 'Duygu Yetis', 'Serhan Yavas', 'Yigit Kirazci'",1,10,4.9,Pastel Film,"'Sadullah Sentürk', 'Levent Turkan'","'Erdal Bektas', 'Tufan Bora'",120,1
 Basim Belada,Drama,2023,"'Keremcem', 'Merih Öztürk', 'Kaan Tasaner', 'Umut Oguz'",1,5,3.8,Baba Yapim,"'Ulas Cihan Simsek', 'Hakan Arslan'","'Aybars Bora Kahyaoglu', 'Hasan Burak Kayaci'",61,1
 Yildizlar Bana Uzak,"Action, Drama, Romance",2023–,"'Furkan Andic', 'Burcu Kiratli', 'Murat Daltaban', 'Rami Narin'",1,1,5.7,O3 Medya,'Bahadir Ince','Ercan Ugur',61,0
 Yalancilar Ve Mumlari,"Drama, Romance, Thriller",2021,"'Elçin Sangu', 'Burcu Gölgedar', 'Safak Pekdemir', 'Ceren Moray'",1,5,6.0,Medyapim,"'Merve Girgin', 'Ilayda Dilan Çelik'",'Nermin Yildirim',61,1
 Adini Sen Koy,"Drama, Romance",2016–2018,"'Özge Yagiz', 'Derya Kurtulus', 'Atilla Pekdemir', 'Musab Ekici'",3,359,4.5,"'Birsel Film', 'Karamel Yapim'","'Mahir Aktas', 'Fulya Yavuzoglu'","'Zeliha Dogan', 'Feza Dogru'",61,1
 Haziran Gecesi,"Drama, Romance",2004–2006,"'Özcan Deniz', 'Naz Elmas', 'Nebahat Çehre', 'Burcu Kara'",2,62,5.2,Gold Film,'Andaç Haznedaroglu',"'Özcan Deniz', 'Mahinur Ergun'",60,1
 Not Defteri,Drama,2014,"'Ekin Mert Daymaz', 'Ebru Özkan', 'Beste Kökdemir', 'Merve Oflaz'",1,13,6.5,Avsar Film,'Ilgaz Giritlioglu',"'Basak Angigün', 'Alphan Dikmen'",61,1
 Sultan,"Drama, Romance",2012,"'Nurgül Yesilçay', 'Burak Deniz', 'Sahin Irmak', 'Settar Tanriögen'",1,20,4.1,Istanbul Mass Media,"'Yildiz Hülya Bilban', 'Sengül Halat'","'Gülay Batur', 'Bilgin Bayazit'",90,1
 Atesböcegi,"Comedy, Romance",2017,"'Seçkin Özdemir', 'Nilay Deniz', 'Seda Güven', 'Durul Bazan'",1,17,6.8,Mia Yapim,"'Baris Yös', 'Zeliha Orman'","'Ebru Hacioglu', 'Verda Pars'",120,1
 Annem,Drama,2007–2009,"'Talat Bulut', 'Vahide Perçin', 'Duygu Yetis', 'Seda Akman'",2,64,4.0,Gold Film,'Faruk Teber','Gamze Özer',90,1
 Kanit,"Crime, Drama",2010–2013,"'Sevil Atasoy', 'Engin Benli', 'Deniz Celiloglu', 'Ece Güzel'",3,100,7.6,Gold Film,"'Biray Dalkiran', 'Cem Sürücü'","'Selin Atasoy', 'Ahmet Saatçioglu'",75,1
 Five Brothers,"Comedy, Drama, Family",2015,"'Serkan Keskin', 'Osman Sonant', 'Tansu Biçer', 'Nadir Saribacak'",1,13,8.4,Gold Film,"'Onur Ünlü', 'Erkan Tunç'","'Ismail Içen', 'Ömer Faruk Yardimci'",120,1
 Yalniz Kurt,"Action, Drama, Romance",2022,"'Hasan Denizyaran', 'Yaprak Medine', 'Cihan Ünal', 'Murat Han'",2,32,5.4,Sinegraf,"'Çagatay Tosun', 'Yusuf Ömer Sinav'","'Adem Biyik', 'Alper Erze'",120,1
 Adi: Zehra,Drama,2018,"'Günes Hayat', 'Ali Meriç', 'Zeynep Çamci', 'Alican Yücesoy'",1,14,5.5,NTC Medya,'Taner Akvardar',"'Murat Emir Eren', 'Rana Mamatlioglu'",120,1
 Çoban Yildizi,Drama,2017,"'Selin Sekerci', 'Sükrü Özyildiz', 'Selim Bayraktar', 'Wayne LeGette'",1,18,6.3,Most Productions,"'Tairi Benal', 'Murat Can Oguz'","'Coskun Irmak', 'Gülizar Irmak'",150,1
 Çok Güzel Hareketler 2,"Comedy, Family",2019–,"'Cenan Adigüzel', 'Aysegül Yilmaz', 'Cemile Çigdem Canyurt', 'Safa Sari'",7,160,6.2,"'BKM', 'Besiktas Kültür Merkezi (BKM)'","'Özge Toprak', 'Çagdas Helvaci'","'Cenan Adigüzel', 'Ahmet Ak'",120,0
 Unutabilsem,Drama,1998–1999,"'Tugrul Arsever', 'Suzan Avci', 'Burcu Basaran', 'Sühan Baydar'",1,44,5.6,"'BKM', 'Besiktas Kültür Merkezi (BKM)'","'Kaya Ererez', 'Cankat Ergin'","'Emrah', 'Filiz Terzi'",40,1
 Kurt Kanunu,"Adventure, Drama, History",2012,"'Ümit Acar', 'Ali Basar', 'Pelin Akil', 'Ridvan Albayrak'",1,24,6.8,Pana Film,'Yasin Uslu',"'Alev Alatli', 'Aysegul Haciosmanoglu'",75,1
 Ask ve Ceza,"Action, Drama, Romance",2010–2011,"'Nurgül Yesilçay', 'Murat Yildirim', 'Tomris Incer', 'Feride Çetin'",2,62,5.9,TMC Film,"'Kudret Sabanci', 'Mehmet Ada Öztekin'","'Mehmet Bilal', 'Murat Lütfü'",61,1
 Aslinda Özgürsün,Drama,2022–,"'Deniz Çakir', 'Bade Iscil', 'Alican Yücesoy', 'Burak Yamantürk'",1,8,6.4,Witchcraft Films,'Ali Kemal Guven',"'Duygu Asena', 'Ali Kemal Guven'",40,0
 Küçük Kadinlar,Drama,2008–2011,"'Hande Soral', 'Fulya Zenginer', 'Elit Iscan', 'Selin Ilgar'",3,26,3.5,D Production,"'Halenur Uzunoglu', 'Hakan Arslan'","'Armagan Gülsahin', 'Zeki Gürdal Karaoglu'",82,1
 Lise Devriyesi,"Comedy, Crime",2017,"'Ismail Ege Sasmaz', 'Alp Kurt Dinmez', 'Abdullah Faruk Gunaydin', 'Ozan Dolunay'",1,12,5.3,"'ARC Film', 'Arc Film'",'Yahya Samanci',"'Samed Aslan', 'Öktem Basol'",61,1
 Kaçak Gelinler,"Comedy, Romance",2014–2015,"'Selin Sekerci', 'Deniz Baysal', 'Açelya Topaloglu', 'Firat Albayram'",1,29,5.6,"'ARC Film', 'Arc Film'","'Kerem Çakiroglu', 'Inci Balabanoglu Ahiska'","'Aysin Akbulut', 'Ekin Atalar'",120,1
 Elkizi,Drama,2021–2022,"'Sevda Erginci', 'Perihan Savas', 'Ismail Ege Sasmaz', 'Münir Can Cindoruk'",1,13,4.3,NTC Medya,'Feride Kaytan',"'Serap Gazel', 'Nazli Sunlu'",120,1
 Dayan Yüregim,Drama,2017,"'Ece Uslu', 'Cansel Elcin', 'Nilay Deniz', 'Berk Atan'",1,13,5.6,Endemol Shine Turkey,'Deniz Çelebi',"'Serap Gazel', 'Ozan Emre Yurdakul'",120,1
 Bez Bebek,"Comedy, Drama, Family",2007–2010,"'Güzin Usta', 'Asena Keskinci', 'Oya Aydogan', 'Ege Tanman'",3,49,2.7,"'Focus Film Production', 'Focus Films'",'Serpil Kurtca',"'Begum Kurt', 'Nilbanu Engindeniz'",80,1
 Urfaliyam Ezelden,Drama,2014,"'Bülent Inal', 'Öykü Gürman', 'Dolunay Soysert', 'Settar Tanriögen'",1,11,4.0,Gold Film,"'Senol Sönmez', 'Faruk Teber'","'Bülent Inal', 'Deniz Madanoglu'",120,1
 Zengin Kiz Fakir Oglan,"Comedy, Drama, Family",2012–2015,"'Ufuk Özkan', 'Ecem Özkaya', 'Hüseyin Avni Danyal', 'Ayda Aksel'",4,141,5.3,"'MinT Motion Pictures', 'Mint Prodüksiyon'",'Hasan Tolga Pulat',"'Yasar Arak', 'Birol Güven'",105,1
 Hayat Devam Ediyor,Drama,2011–2013,"'Fikret Kuskan', 'Senay Gürler', 'Arif Erkin Güzelbeyoglu', 'Rozet Hubes'",2,46,3.8,Boyut Film,"'Levent Turkan', 'Yildiz Hülya Bilban'","'Esen Ali Biren', 'Mahsun Kirmizigül'",120,1
 Kirik Hayatlar,Romance,2021–2022,"'Meltem Akçöl', 'Murat Onuk', 'Burcu Almeman', 'Yesim Celebi'",1,100,6.3,Boyut Film,"'Ilknur Uguz Arslan', 'Bekir Dadas'","'Yasar Aksu', 'Özge Basak Arslan'",61,1
 Kalk Gidelim,"Comedy, Family",2017–2020,"'Ufuk Özkan', 'Ayca Varlier', 'Mehtap Bayri', 'Sena Çakir'",4,135,5.8,Staff Film,"'Özgür Pak', 'Erkan Nurhan'","'Oktay Berber', 'Oktay Berber'",130,1
 Benim Adim Gultepe,Drama,2014–2015,"'Ayça Bingöl', 'Mete Horozoglu', 'Ekin Koç', 'Tolga Saritas'",1,8,7.0,D Production,"'Deniz Kolos', 'Zeynep Gunay Tan'",'Vural Yasaroglu',120,1
 Ekip 1: Nizama Adanmis Ruhlar,"Action, Crime, Drama",2012–2015,"'Tuan Öztürk', 'Muharrem Türkseven', 'Sekvan Serinkaya', 'B. Fatih Akçin'",4,121,3.8,Hack Creative Yapim,'Nuh Sen','Aybars Bora Kahyaoglu',61,1
 Hayat Mucizelere Gebe,"Comedy, Drama, Romance",2015–2016,"'Hande Ataizi', 'Damla Colbay', 'Isil Yücesoy', 'Yigit Dikmen'",1,7,4.1,Medyapim,"'Kerem Altug', 'Serdar Gözelekli'","'Meryem Gür', 'Jennie Snyder Urman'",120,1
 Hanim Köylü,Drama,2016,"'Yusuf Çim', 'Mehmet Özgür', 'Gulsim Ali', 'Toygan Avanoglu'",1,13,5.7,Star-TV,'Mustafa Sevki Dogan','Baykut Badem',120,1
 En Son Babalar Duyar,"Comedy, Family",2002–2006,"'Hatice Aslan', 'Levent Ülgen', 'Ali Sunal', 'Ece Dizdar'",3,159,6.3,"'MinT Production', 'Mint Prodüksiyon'","'Funda Karagöz', 'Sibel Kocatas'","'Murat Aras', 'Birol Güven'",75,1
 Vurgun,Drama,2019,"'Erkan Petekkaya', 'Deniz Çakir', 'Emre Kinay', 'Begüm Birgören'",1,6,5.1,Gold Film,"'Altan Dönmez', 'Orkun Çatak'","'Basar Basaran', 'Gülhis Kutu'",120,1
 Ne Münasebet,"Comedy, Romance",2015,"'Sarp Levendoglu', 'Pelin Akil', 'Ulas Torun', 'Bengi Idil Uras'",1,11,5.8,"'ARC Film', 'Arc Film'",'Cagri Bayrak',"'Baris Basar', 'Hakan Haksun'",120,1
 Adi Mutluluk,"Comedy, Drama, Romance",2015,"'Kaan Yildirim', 'Ezgi Eyüboglu', 'Dilara Aksüyek', 'Ceyhun Mengiroglu'",1,17,4.5,Süreç Film,'Erol Özlevi',"'Aksel Bonfil', 'Hakan Bonomo'",120,1
 Metamorfoz: Kirilma,Mystery,2023–,"'Can Nergis', 'Ahmet Tansu Tasanlar', 'Emel Dede', 'Ahmet Varli'",1,10,6.3,Primo Film,'Murat Onbul',"'Ibrahim Ethem Arslan', 'Mustafa Burak Dogu'",61,0
 Rafadan Tayfa,"Animation, Adventure, Comedy",2013–,"'Bruce Barker', 'Wayne LeGette', 'Callie Ray', 'Pablo Milla'",6,10,7.7,Primo Film,'Ismail Fidan','Ibrahim Bal',61,0
 Cesur Yürek,"Action, Drama, Romance",2016–2017,"'Onur Tuna', 'Ruveyda Öksuz', 'Hüseyin Avni Danyal', 'Saydam Yeniay'",1,21,6.1,Fark Film,"'Emre Karakusak', 'Kudret Sabanci'","'Ozan Aksungur', 'Cüneyt Aysan'",120,1
 Deep Purple,Drama,2023–,"'Özkan Karadar', 'Nilperi Sahinkaya', 'Deniz Celiloglu', 'Murat Kiliç'",1,8,8.6,Goya Entertainment,'Mahmut Fazil Coskun',"'Gunes Celikcan', 'Merve Zorlu'",61,0
 Yemin,Romance,2007–2008,"'Burak Sagyasar', 'Bayazit Gülercan', 'Yücel Erten', 'Zeynep Irgat'",2,54,3.4,Focus Film Production,'Sadullah Celen',"'N. Ipek Gökdel', 'Atilla Ünsal'",61,1
 Bir Istanbul Masali,Drama,2003–2005,"'Sonia Özlem Ivelik', 'Ahu Türkpençe', 'Mehmet Aslantug', 'Çetin Tekindor'",2,29,6.5,TMC Film,'Ömür Atay',"'Gökhan Horzum', 'Gaye Boralioglu'",60,1
 Tarcin ve Arkadaslari,"Adventure, Family",2003,'Sezgi Deniz',1,10,6.7,TMC Film,'Sema Tüzün',"'Gökhan Horzum', 'Gaye Boralioglu'",61,1
 Beni Birakma,"Drama, Romance",2018–2021,"'Sebnem Gürsoy Talay', 'Berkay Veli', 'Emrah Akduman', 'Mithat Erdemli'",4,454,5.0,Focus Films,"'Gürsel Ates', 'Dilsen Kavuzlu'","'Deniz Aydenk', 'Ugur Kandemir'",60,1
 Kagit Ev,Drama,2021,"'Erdal Besikçioglu', 'Nur Fettahoglu', 'Tuvana Türkay', 'Nihal G. Koldas'",1,8,5.8,O3 Medya,'Senol Sönmez',"'Sebnem Aksoy', 'Umut Açikalin'",120,1
 Dangerous Beauty,Drama,2012,"'Gizem Karaca', 'Seda Akman', 'Murat Han', 'Mehmetcan Mincinozlu'",2,22,3.7,Medyapim,'Mehmet Bahadir Er','Meryem Gür',90,1
 Aramizda Kalsin,"Comedy, Drama, Romance",2013–2015,"'Ugur Yücel', 'Gökçe Bahadir', 'Binnur Kaya', 'Caner Cindoruk'",2,52,7.6,TMC Film,"'Guzide Balci', 'Hatice Memis'","'Selin Tunç', 'Ceylan Güleç'",90,1
 Acemi Cadi,"Comedy, Family, Fantasy",2006–2007,"'Merve Bolugur', 'Cagkan Culha', 'Nergis Kumbasar', 'Dicle Alkan'",2,58,3.6,D Production,'Feride Kaytan','Haluk Özenç',80,1
 Ask Zamani,"Comedy, Romance",2015,"'Yavuz Bingöl', 'Deniz Ugur', 'Ali Ersan Duru', 'Bekir Aksoy'",1,9,4.2,MedyaLab International Communication Consultancy and Services,'Bora Onur','Alper Erze',120,1
 Çati Kati Ask,"Comedy, Family, Romance",2020,"'Furkan Andic', 'Yigit Kirazci', 'Nilay Deniz', 'Renan Bilek'",1,16,5.2,Mia Yapim,"'Baris Yös', 'Senol Sönmez'","'Saygin Delibas', 'Fethi Kantarci'",139,1
 Canim Annem,Drama,2022–,"'Aysun Güven', 'Yavuz Pekdiker', 'Birhan Tut', 'Ishak Burak Ocak'",1,370,6.9,"'Saran Studios', 'Stellar Yapim'","'Tugçe Küçükkalipçi', 'Emrah Sendur'","'Nuri Öz', 'Julia Berköz'",50,0
 Acil Ask Araniyor,"Comedy, Romance",2015–2019,"'Serenay Aktas', 'Açelya Özcan', 'Baris Aytac', 'Aykut Yilmaz'",1,2,5.6,Medyapim,"'Hakan Inan', 'Baris Kirimselioglu'","'Cihan Çaliskantürk', 'Gökhan Horzum'",120,1
 Unutulmaz,Drama,2009–2011,"'Yücel Erten', 'Ahmet Uz', 'Ali Mert Yavuzcan', 'Neslihan Maltepe'",2,90,6.6,Acun Medya,'Ersoy Güler','Yesim Turkyilmaz',90,1
 Besinci Boyut,Drama,2005–2009,"'Ugur Izgi', 'Yilmaz Meydaneri', 'Nevzat Yilmaz'",1,17,5.7,"'Ser Film', 'Sera Film'",'Serdar Muhammedov','Ogan Senyolcu',61,1
 In Between,"Drama, Romance",2013–2014,"'Kadir Dogulu', 'Neslihan Atagül', 'Yunus Emre Yildirimer', 'Dilara Öztunç'",2,50,5.7,Koliba Film,'Sadullah Celen',"'Hayriye Ersöz', 'Murat Emir Eren'",120,1
 Hayatimin Nesesi,"Comedy, Family",2023,"'Sebnem Bozoklu', 'Tolga Tekin', 'Metin Coskun', 'Ugur Demirpehlivan'",1,18,6.6,"'BKM', 'Besiktas Kültür Merkezi (BKM)'",'Sahin Altug',"'Ekin Atalar', 'Gökhan Horzum'",61,1
 Biçak Sirti,Drama,2007–2008,"'Fikret Kuskan', 'Nejat Isler', 'Mehmet Günsür', 'Melisa Sözen'",1,30,7.6,TMC Film,'Selim Demirdelen',"'Emine Algan', 'Gaye Boralioglu'",70,1
 Iki Aile,"Comedy, Family",2006–2008,"'Ömer Güney', 'Emre Kinay', 'Iclal Aydin', 'Bahar Yanilmaz'",2,98,5.7,D Productions,"'Yildiz Hülya Bilban', 'Hulya Bilban'","'Barkin Senüren', 'Barkin Senüren'",85,1
 Yasak,"Drama, Romance",2014,"'Fikret Kuskan', 'Deniz Çakir', 'Burak Yamantürk', 'Ezgi Eyüboglu'",1,9,5.2,TMC Film,'Kudret Sabanci',"'Ali Demirel', 'Meryem Gültabak'",120,1
 Ayrilsak da Beraberiz,"Comedy, Family",1999–2004,"'Hakan Yilmaz', 'Suzan Aksoy', 'Necmi Yapici', 'Simge Selçuk'",1,430,7.3,Tükenmez Kalem Film,"'Sibel Kocatas', 'Rasit Çelikezer'","'Nilufer Yenidogan', 'Nilufer Yenidogan'",60,1
 Bir Deniz Hikayesi,Drama,2015,"'Emir Berke Zincidi', 'Begüm Birgören', 'Emre Kizilirmak', 'Ozan Çobanoglu'",1,8,4.1,Erler Film,"'Aydin Bulut', 'Canan Çelik'","'Azime Aktas', 'Aylin Süer'",120,1
 Fairytale,Fantasy,2008,"'Serenay Sarikaya', 'Volkan Akçaalan', 'Isik Aras', 'Ayberk Atilla'",1,46,5.0,Plato Film Production,'Celal Çimen',"'Ayça Mutlugil', 'Filiz Terzi'",61,1
 Papatyam,"Comedy, Drama, Family",2009–2011,"'Miray Daner', 'Metin Akpinar', 'Nergis Kumbasar', 'Erdem Bas'",4,121,4.8,Mint Prodüksiyon,'Bora Tekay','Murat Aras',90,1
 Sultan,Drama,2001,"'Esra Arslan', 'Melih Atalay', 'Mürsit Bag', 'Taner Barlas'",1,22,4.6,25 Film,"'Orhan Emek', 'Ülkü Erakalin'","'Berrin Tekdemir', 'Hilal Çelenk'",60,1
 Es-Es,"Action, Family",2009,"'Ahmet Rifat Sungar', 'Erdal Besikçioglu', 'Berk Hakman', 'Derya Alabora'",1,21,6.5,TIMS Productions,'Bahadir Ince','Barkin Senüren',110,1
 Huzur Sokagi,Drama,2012–2014,"'Kutsi', 'Yesim Salkim', 'Selin Demiratar', 'Güven Hokna'",2,71,4.8,TIMS Productions,"'Serkan Birinci', 'Yildiz Hülya Bilban'","'Sule Yüksel Senler', 'Selçuk Akman'",61,1
 Sevkat Yerimdar,"Comedy, Romance",2017–2018,"'Özgürcan Cevik', 'Basak Parlak', 'Salih Kalyon', 'Burak Demir'",1,22,5.6,Limon Film,"'Bülent Isbilen', 'Selin Kilicarslan'","'Erol Hizarci', 'Murat Özsoy'",125,1
 Ikizler Memo-Can,"Comedy, Family",2018–2019,"'Nehir Erdogan', 'Özgürcan Cevik', 'Emir Berke Zincidi', 'Tugba Çinar'",1,25,3.6,Erler Film,'Erol Özlevi',"'Azime Aktas', 'Özlem Atasoy'",120,1
 You Like,"Comedy, Romance",2022,"'Ilayda Alisan', 'Burak Yörük', 'Nergis Kumbasar', 'Zeynep Kankonde'",1,20,5.5,Kanal D Iç Yapimlar,"'Serdar Gözelekli', 'Deniz Çelebi'","'Ilker Arslan', 'Ilker Arslan'",120,1
 Beyaz Karanfil,"Action, Crime, Drama",2014,"'Hakan Boyav', 'Kenan Çoban', 'Ali Sürmeli', 'Caglar Ertugrul'",1,6,6.4,Fark Film,'Baran Ozcaylan',"'Ozan Ayaz', 'Cüneyt Aysan'",100,1
 Kapi,Drama,2023–,"'Hasan Denizyaran', 'Jessica May', 'Müfit Kayacan', 'Serdar Deniz'",1,10,6.0,Cinegenna Pictures,'Yunus Nihat Ozcan',"'Süha Koçoglu', 'Zeynep Yildiz'",45,0
 Dayton,Drama,2023–,"'Ali Riza Sahin', 'Basak Dasman', 'Yildiz Kültür', 'Sehsuvar Aktas'",1,6,8.1,Cinegenna Pictures,'Basak Soysal',"'Rabia Bozkurt', 'Ümit Cihan Canpolat'",61,0
 Elif,"Drama, Romance",2008,"'Mehmet Sah Celik', 'Keremcem', 'Yasemin Kay Allen', 'Burak Tamdogan'",1,19,4.0,Play Prodüksiyon,'Bülent Isbilen','Ilker Baris',61,1
 Pusat,"Action, Drama, Romance",2007,"'Yasemin Balik', 'Sahin Çelik', 'Emin Boztepe', 'Cengiz Özkan'",1,13,5.7,Sinegraf,'Abdülkadir Ceylan Ede',"'Aybars Bora Kahyaoglu', 'Aybars Bora Kahyaoglu'",90,1
 Elbet Bir Gün,Drama,2021,"'Helin Kandemir', 'Burak Yamantürk', 'Sinem Ünsal', 'Sebnem Bozoklu'",1,6,5.1,Most Production,'Gül Oguz',"'Funda Alp', 'Yusuf Reha Alp'",61,1
 Sevgili Geçmis,Drama,2019,"'Ece Uslu', 'Emre Kinay', 'Sevda Erginci', 'Seçkin Özdemir'",1,8,6.4,Süreç Film,"'Aydin Bulut', 'Osman Kaya'","'Funda Alp', 'Soysal Demir'",120,1
 Sultan Makami,Drama,2003–2004,"'Selami Üstübi', 'Sevket Çoruh', 'Basak Köklükaya', 'Ugur Polat'",1,26,8.2,Altioklar Film,'Aydin Bulut','Ali Ulvi Hünkar',70,1
 Kayip,"Action, Drama",2013–2014,"'Mete Horozoglu', 'Asli Enver', 'Kaan Tasaner', 'Dolunay Soysert'",1,14,7.8,D Productions,"'Deniz Kolos', 'Zeynep Gunay Tan'",'Elif Usman',90,1
 Mavi Kelebekler,Drama,2011–2013,"'Onur Azad Yilmaz', 'Sadettin Kanpalta', 'Aylin Arasil', 'Selami Üstübi'",1,2,6.0,Sinevizyon Film,'Yasemin Türkmenli',"'Didem Ayberkin', 'Ilker Baris'",61,1
 Elde Var Hayat,Drama,2010–2012,"'Gökmen Kasabali', 'Zamire Zeynep Özdemir', 'Eren Kurtel', 'Merve Çagiran'",2,73,6.5,"'BSK Yapim', 'Elmalma Marka Iletisim'","'Sadullah Sentürk', 'Cem Tabak'",'Hakan Haksun',90,1
 Nielegalni,"Action, Thriller",2018–,"'Grzegorz Damiecki', 'Agnieszka Grochowska', 'Sylwia Juszczak', 'Wojciech Zoladkowicz'",1,10,6.2,"'ITI Neovision', 'Telemark'","'Leszek Dawid', 'Jan P. Matuszynski'","'Dorota Jankojc-Poddebniak', 'Dorota Jankojc-Poddebniak'",50,0
 Maria ile Mustafa,Drama,2020,"'Jessica May', 'Hilmi Cem Intepe', 'Haki Biçici', 'Ezgi Çelik'",1,17,4.1,NTC Medya,"'Bahadir Ince', 'Faruk Teber'","'Seda Çakir Avunduk', 'Esen Ali Bilen'",61,1
 Benim Hayatim,Drama,2021,"'Nilsu Berfin Aktas', 'Genco Ozak', 'Savas Özdemir', 'Ugur Çavusoglu'",1,6,4.6,BVB,"'Savas Ilhan', 'Özlem Dündar'","'Ali Buhara Mete', 'Sadettin Tolan'",120,1
 Karayilan,"Action, Drama, Romance",2007–2008,"'Bülent Inal', 'Begüm Birgören', 'Engin Akyürek', 'Ilker Aksum'",1,18,6.9,"'ATV', 'Sis Yapim'","'Durul Taylan', 'Yagmur Taylan'","'Fikret Bekler', 'Kerim Ceylan'",90,1
 Yuvamdaki Düsman,Drama,2018,"'Nebahat Çehre', 'Asli Tandogan', 'Pamir Pekin', 'Ece Çesmioglu'",1,6,4.4,Düs Gezginleri,'Muge Ugurlar','Rüya Iscileri',130,1
 Adini Kalbime Yazdim,Drama,2013–2014,"'Erkan Bektas', 'Ipek Karapinar', 'Sahra Sas', 'Tolga Güleç'",1,24,4.9,Focus Film Production,'Metin Balekoglu',"'Sebnem Aksoy', 'Saim Umut Açikalin'",61,1
 Kizlarim Için,Drama,2017–2018,"'Tuvana Türkay', 'Ahsen Eroglu', 'Fikret Kuskan', 'Sibel Tasçioglu'",1,13,6.4,Süreç Film,'Mesude Erarslan',"'Zehra Yucel', 'Zülküf Yücel'",120,1
 Istanbul Sokaklari,"Action, Drama",2016,"'Gizem Karaca', 'Caner Cindoruk', 'Riza Kocaoglu', 'Naz Elmas'",1,9,5.1,Gold Film,"'Gökhan Ayiz', 'Faruk Teber'","'Zehra Yucel', 'Zülküf Yücel'",120,1
 Kursun Yarasi,Adventure,2003–2005,"'Necmettin Çobanoglu', 'Berdan Mardini', 'Murat Çobangil', 'Serif Bozkurt'",1,16,6.2,Avsar Film,'Özer Kiziltan',"'Ilker Arslan', 'Cüneyt Bolak'",60,1
 Vazgeç Gönlüm,"Drama, Romance",2007–2008,"'Deniz Alan', 'Murat Han', 'Pelin Ermis', 'Irem Altug'",2,41,5.4,Gold Film,'Halenur Uzunoglu','Ayse Teber',61,1
 Duran,Drama,2022,"'Oktay Çubuk', 'Bahar Sahin', 'Ilyas Salman', 'Erdem Senocak'",1,9,5.5,"'90 Film Production', 'Gain'",'Yunus Ozan Korkut',"'Yunus Ozan Korkut', 'Murat Sevket'",40,1
 Ruhsar,"Comedy, Fantasy, Romance",1998–2001,"'Hande Ataizi', 'Berat Yenilmez', 'Ayse Tunaboylu', 'Cem Davran'",5,108,6.1,ANS Production,"'Ömür Atay', 'Ümmü Burhan'","'Ihsan Aydin', 'Gani Müjde'",40,1
 Synchronous,"Crime, Sci-Fi, Thriller",2021,"'Özcan Deniz', 'Feyza Aktan', 'Cansel Elcin', 'Zeynep Tugçe Bayat'",1,6,6.0,DNZ Film,'Özcan Deniz','Özcan Deniz',45,1
 Yalniz Kalpler,Drama,2023–,"'Nusret Senay', 'Sena Sahin', 'Taygun Sungar', 'Elif Gülhan'",1,101,6.9,"'Bros Film', 'Mavi Yapim'","'Cevriye Demir', 'Miriban Sahin'","'Tunahan Civelek', 'Eylem Akin'",61,0
