Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Yaban Gülü,Drama,2008,"'Ipek Tenolcay', 'Ayhan Kavas', 'Hatice Sendil', 'Damla Debre'",1,15,3.2,Vega Film,"'Filiz Kaynak', 'Kumral Pakel'",'Nuran Devres',80,1
 Yildiz Masali,Drama,2011–2012,"'Gökhan Özen', 'Seda Demir', 'Bülent Sakrak', 'Hakan Bilgin'",1,1,3.7,Medyapim,"'Atil Inaç', 'Ulas Inan Inaç'",'Selen Sevigen',61,1
 Süphe,Drama,2011,"'Selin Demiratar', 'Ismail Hacioglu', 'Serkan Altunorak', 'Ugur Karabulut'",1,6,3.2,Medyapim,"'Nisan Akman', 'Abdullah Oguz'","'Hürer Ebeoglu', 'Zülküf Yücel'",90,1
 Halil Ibrahim Sofrasi,"Comedy, Drama",2010–2011,"'Bige Önal', 'Müjde Uzman', 'Necati Sasmaz', 'Gürkan Uygun'",1,1,6.5,Pana Film,"'Murat Düzgünoglu', 'Ahmet Katiksiz'","'Ali Demirel', 'Volkan Sümbül'",65,1
 Kaptan,"Comedy, Romance",2007,"'Emre Tetikel', 'Ferdi Merter', 'Arda Kural', 'Berke Hürcan'",1,3,5.7,Pana Film,'Günay Köker','Hakan Danis',61,1
 Yalaza,"Comedy, Family",2017–2018,"'Didem Balçin', 'Ergul Miray Sahin', 'Sinan Albayrak', 'Gamze Karaduman'",1,20,5.1,Sinegraf,"'Mehmet Bahadir Er', 'Osman Sinav'",'Selma Haciosmanoglu',61,1
 Ödünç Hayat,Drama,2005,"'Selda Alkor', 'Çetin Tekindor', 'Cenk Ertan', 'Berrak Tüzünataç'",1,3,5.7,Sinegraf,'Nihat Durak','Mahinur Ergun',60,1
 Sudan Bikmis Baliklar,Romance,2012,"'Burak Sagyasar', 'Ezgi Eyüboglu', 'Övül Avkiran', 'Payidar Tüfekçioglu'",1,11,5.5,Focus Film Production,'Cevriye Demir',"'Eylem Akin', 'Filiz Alpgezmen'",61,1
 Homur&Gumur (Dumper & Skoop),Animation,2019,'Jason Kesser',1,20,5.2,Mavi Baykus,'Serhat Albamya','Aykut Sanver',61,1
 Görüs Günü Kadinlari,Drama,2013,"'Senay Gürler', 'Nesrin Cavadzade', 'Yildiz Çagri Atiksoy', 'Semra Dinçer'",1,1,5.4,NTC Medya,'Veli Çelik','Özgür Evren Heptürk',90,1
 RGG Ayas,Animation,2014,"'Ege Sezer', 'Ömer Faruk Biçer', 'Arda Beyaztas', 'Mehmet Duran'",1,20,5.4,NTC Medya,'Veli Çelik','Özgür Evren Heptürk',10,1
 Prenses Perfinya,"Comedy, Fantasy",2008,"'Atilla Arcan', 'Aliona Bozbey', 'Ruhsar Gültekin', 'Volkan Severcan'",1,20,5.4,Fox TV,'Umut Gelgör','Caner Güler',61,1
 Interrogation Room,"Comedy, Crime, Mystery",2022,"'Ismail Algül', 'Hazar Deniz BG', 'Osman Findik', 'Tarik Günes'",1,20,5.7,Merbar Yapim,'Hazar Deniz BG','Hazar Deniz BG',27,1
 Kirmizi Isik,Drama,2008,"'Cüneyt Arkin', 'Oktay Kaynarca', 'Nihat Altinkaya', 'Meral Orhonsay'",2,2,3.0,Turkish Radio & Television (TRT),'Hilmi Akyalçin',"'Hilmi Akyalçin', 'Cavidan Balci'",25,1
 Koyu Kirmizi,Drama,2012–2013,"'Ipek Bilgin', 'Ozan Güven', 'Engin Hepileri', 'Özgü Namal'",1,20,5.7,TMC Film,'Atil Inaç','Nese Sen',115,1
 Bir Kadin Tanidim,"Drama, Romance",2011–2012,"'Ekin Türkmen', 'Ertan Saban', 'Savas Özdemir', 'Neslihan Yeldan'",1,14,5.0,Pana Film,"'Murat Düzgünoglu', 'Alican Gebes'","'Ozan Aksungur', 'Cüneyt Aysan'",90,1
 Hirsiz,Adventure,2001,"'Mehmet Aslantug', 'Enis Arikan', 'Murat Daltaban', 'Zafer Ergin'",1,3,4.9,Pana Film,'Veli Çelik','Fatih Cöngevel',61,1
 Dolunay,Drama,2005,"'Mete Horozoglu', 'Serra Yilmaz', 'Hande Katipoglu', 'Köksal Engür'",1,1,6.8,"'AFS Film', 'Tara Film'",'Hakan Mumcuoglu','Hakan Mumcuoglu',61,1
 Bir Ferhat ile Sirin Hikayesi,Drama,2012,"'Ilhami Adsal', 'Sedef Avci', 'Murat Aydin', 'Halis Bayraktaroglu'",1,20,4.3,"'AFS Film', 'Tara Film'",'Çagatay Tosun','Sercan Candar',61,1
 Nisan Yagmuru,"Drama, Romance",2001,"'Murat Prosçiler', 'Murat Daltaban', 'Betül Arim', 'Tuncer Sevi'",1,4,5.6,"'AFS Film', 'Tara Film'","'Turgut Yasalar', 'Ömer Ugur'",'Vasif Küçükoruç',61,1
 Evlerden Biri,"Drama, Romance",2012,"'Baris Aytac', 'Dilara Aksüyek', 'Gümeç Alpay Aslan', 'Özcan Varayli'",1,13,4.8,Koliba Film,'Bahadir Ince',"'Hakan Haksun', 'Müjdan Kayserli'",61,1
 Yagmurdan Sonra,Drama,2006–2007,"'Seda Çetin', 'Ilhami Adsal', 'Zeynep Akkoca', 'Umut Armagan'",1,20,2.1,Koliba Film,"'Naci Çelik Berksoy', 'Cemile Karadas'",'Samim Utku',61,1
 Subat Sogugu,Drama,2004–2006,"'Hakverdi Biber', 'Umut Tabak', 'Özgür Özberk', 'Kenan Bal'",2,78,6.8,Koliba Film,"'Metin Balekoglu', 'Hasan Kiraç'",'M. Bengi Midyat',60,1
4,Action,2009–2010,"'Reha Özcan', 'Cavit Çetin Güner', 'Hazal Kadak', 'Savas Barutçu'",1,20,5.7,Promore Prodüksiyon,'Tamer Ciray','M. Bengi Midyat',61,1
 Özelden Yürüyenler,"Comedy, Romance",2021,"'Nursena Yilmaz', 'Yigit Kalkavan', 'Özgür Uysal', 'Diren Can Demir'",2,26,6.9,"'Bubble Project', 'Gain'","'Burak Altindag', 'Kemalcan Ekin'","'Tolga Afsin Kaya', 'Kübra Sefkatli'",18,1
 Nefes Nefese,Drama,2005,"'Hakan Ural', 'Sinem Kobal', 'Ceren Moray', 'Yagmur Atacan'",1,9,4.6,Medyapim,'Birkan Uz','Cem Görgeç',61,1
